song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
Slime You Out (feat. SZA),90,310491,0.508,0.483,0.408,0.0,5,0.259,-9.243,0,0.0502,88.88,3,0.105
Paint The Town Red,100,231750,0.269,0.868,0.538,3.34e-06,5,0.0901,-8.603,1,0.174,99.968,4,0.732
Snooze,92,201800,0.141,0.559,0.551,0.0,5,0.11,-7.231,1,0.132,143.008,4,0.392
Fast Car,90,265493,0.186,0.712,0.603,0.0,8,0.115,-5.52,1,0.0262,97.994,4,0.67
I Remember Everything (feat. Kacey Musgraves),93,227196,0.554,0.429,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155
Cruel Summer,99,178427,0.117,0.552,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564
vampire,85,219724,0.169,0.511,0.532,0.0,5,0.311,-5.745,1,0.056,137.827,4,0.322
Last Night,87,163855,0.467,0.492,0.675,0.0,6,0.142,-5.456,1,0.0389,203.759,4,0.478
fukumean,95,125040,0.119,0.847,0.622,0.0,1,0.285,-6.747,0,0.0903,130.001,4,0.22
Dance The Night - From Barbie The Album,95,176579,0.0207,0.671,0.845,0.0,11,0.329,-4.93,0,0.048,110.056,4,0.775
Calm Down (with Selena Gomez),91,239318,0.382,0.801,0.806,0.000669,11,0.114,-5.206,1,0.0381,106.999,4,0.802
Barbie World (with Aqua) [From Barbie The Album],91,109750,0.519,0.77,0.58,0.000127,0,0.233,-8.393,1,0.247,144.072,4,0.753
bad idea right?,81,184784,0.00196,0.628,0.878,1.23e-05,9,0.0649,-3.468,1,0.0901,129.976,4,0.796
Religiously,32,178723,0.426,0.57,0.67,0.0,1,0.108,-6.519,1,0.0274,140.924,4,0.593
Flowers,69,200455,0.0632,0.707,0.681,5.15e-06,0,0.0322,-4.325,1,0.0668,117.999,4,0.646
All My Life (feat. J. Cole),84,223204,0.15,0.829,0.436,0.0,3,0.0954,-8.205,1,0.327,143.031,4,0.693
Thinkin’ Bout Me,85,177388,0.492,0.656,0.757,0.0,3,0.117,-5.775,0,0.0308,139.971,4,0.429
Call Your Friends,75,153129,0.143,0.57,0.557,0.0,2,0.0926,-12.055,1,0.105,83.224,4,0.301
Come See Me,74,190588,0.717,0.468,0.495,0.0,7,0.11,-10.671,1,0.167,114.227,5,0.171
Rich Men North of Richmond,88,187244,0.753,0.678,0.264,0.0,10,0.302,-12.384,1,0.0622,121.722,4,0.528
get him back!,92,211141,0.0135,0.546,0.846,0.0,5,0.607,-5.719,1,0.181,162.043,4,0.74
Need A Favor,35,197400,0.0123,0.504,0.771,1.89e-05,6,0.078,-4.231,1,0.0319,157.985,4,0.555
Used To Be Young,84,190461,0.6,0.451,0.632,0.0,4,0.139,-3.843,1,0.0475,147.06,4,0.455
Turks & Caicos (feat. 21 Savage),80,203442,0.13,0.544,0.496,0.0,0,0.166,-12.032,1,0.21,103.148,5,0.314
Boyz Don't Cry,76,202224,0.0761,0.741,0.509,2.9e-06,10,0.114,-12.639,1,0.0532,152.078,4,0.345
Anti-Hero,72,200690,0.133,0.638,0.634,1.23e-06,4,0.152,-6.582,1,0.0457,96.953,4,0.519
Kill Bill,87,153947,0.0543,0.644,0.728,0.169,8,0.161,-5.75,1,0.0351,88.993,4,0.43
Fight The Feeling,74,160714,0.0514,0.634,0.538,0.0,0,0.099,-9.213,1,0.0603,168.029,5,0.152
"What Was I Made For? [From The Motion Picture ""Barbie""]",96,222370,0.959,0.444,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142
Great Gatsby,77,146808,0.0382,0.67,0.555,6.36e-06,1,0.414,-9.12,0,0.0908,156.937,4,0.16
Bongos (feat. Megan Thee Stallion),84,175099,0.0791,0.726,0.738,0.0,0,0.0297,-4.788,1,0.355,121.953,4,0.896
Creepin' (with The Weeknd & 21 Savage),92,221520,0.417,0.715,0.62,0.0,1,0.0822,-6.005,0,0.0484,97.95,4,0.172
greedy,97,131872,0.256,0.75,0.733,0.0,6,0.114,-3.18,0,0.0319,111.018,1,0.844
Dial Drunk (with Post Malone),86,213817,0.121,0.667,0.613,0.0,8,0.113,-7.147,1,0.0313,112.046,4,0.681
Watermelon Moonshine,77,208853,0.47,0.739,0.413,2.51e-05,1,0.131,-6.709,1,0.0282,139.921,4,0.649
all-american bitch,90,165834,0.254,0.43,0.692,4.17e-06,6,0.148,-4.234,1,0.0429,156.261,4,0.401
LADY GAGA,95,212878,0.216,0.646,0.736,0.0,5,0.415,-7.118,0,0.0449,140.098,3,0.873
Karma (feat. Ice Spice),75,201493,0.0623,0.615,0.616,0.0,8,0.579,-6.523,1,0.0622,89.977,4,0.0734
Long Journey,75,185887,0.0682,0.656,0.577,0.0,4,0.0818,-10.746,1,0.14,93.015,4,0.418
Nostalgia,74,163997,0.868,0.498,0.695,4.03e-06,7,0.127,-6.891,1,0.157,81.186,4,0.707
Love You Anyway,70,229627,0.149,0.532,0.489,0.0,4,0.237,-7.419,1,0.0311,139.807,4,0.32
Peaches & Eggplants (feat. 21 Savage),79,203813,0.00897,0.911,0.536,3.73e-06,4,0.111,-7.884,0,0.282,146.014,4,0.584
What It Is (Block Boy) (with Kodak Black),78,223344,0.109,0.731,0.744,0.0,1,0.123,-5.77,0,0.174,171.859,4,0.727
QLONA,90,172798,0.525,0.842,0.756,2.21e-06,7,0.0871,-7.409,0,0.338,169.925,4,0.421
I KNOW ?,92,211582,0.0186,0.927,0.619,0.0,5,0.104,-4.441,0,0.0539,117.995,4,0.817
MELTDOWN (feat. Drake),91,246134,0.012,0.557,0.774,0.0,7,0.396,-5.275,0,0.351,111.975,4,0.397
Try That In A Small Town,77,180034,0.0474,0.459,0.861,5.38e-06,0,0.107,-3.762,0,0.0529,145.842,4,0.333
Crazy,73,130508,0.0599,0.63,0.438,0.0,5,0.108,-11.138,0,0.142,160.981,4,0.188
Daylight,95,212954,0.83,0.508,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324
Hey Driver (feat. The War and Treaty),87,227467,0.494,0.583,0.351,0.0,0,0.368,-5.836,1,0.0306,79.014,4,0.462
HG4,75,120895,0.177,0.647,0.642,0.0,2,0.0948,-7.687,1,0.0785,87.523,4,0.219
the grudge,89,189386,0.916,0.548,0.307,0.0,10,0.0828,-9.214,1,0.0781,127.923,4,0.317
Seven (feat. Latto) (Explicit Ver.),97,185427,0.311,0.802,0.832,0.0,11,0.0815,-4.107,1,0.0434,124.997,4,0.89
Single Soon,89,171655,0.00863,0.61,0.571,0.0,2,0.131,-5.649,1,0.0782,105.01,4,0.747
Checkmate,71,198034,0.176,0.731,0.622,0.0,5,0.153,-8.237,1,0.0979,82.494,4,0.445
